<intro>	
Voix off	: L'auberge du Rat d'égoût lubrique n'étant pas des plus calmes, nous préférons passer sous silence les évènements de la soirée. C'est par la force des choses que nos aventuriers y ont passé la nuit malgré les problèmes de voisinage, voyant que le Barbare ne pouvait plus marcher après avoir goûté le contenu de cette fameuse bouteille jaune, dans laquelle macéraient plusieurs frelons.
Nain	: faut admettre... c'est plutôt une boisson d'homme !
Voix off	:  Après un réveil difficile, une longue étape de marche amène notre groupe à longer le lac de Zblouf vers l'Est, et à traverser un sous-bois...
<transition 32 kilomètres>	
<déplacement groupe forêt>	
Barbare	: c'est lourd, on n'avance pas !
Ranger	: (soupir...) bah je sais pas ce qu'il te faut....
Nain	: (loin) moi il me faudrait des nouveaux pieds !
Mago	: on a vraiment progressé aujourd'hui
Elfe	: on approche de la forêt de Schlipak
Barbare	: ça irait plus vite en courant !
Elfe	: hey ! Regardez, là-bas !
<ambiance suspense>	
Elfe	: y'a un cadavre au bord du chemin !
Ranger	: hum... un type en armure...
Mago	: ha, j'aime pas ça !
Barbare	: on devrait le fouiller !
Nain	: tatata !! Non je connais le truc, c'est une arnaque !
Elfe	: mais de quoi tu parles ?
Nain	: c'est une technique que les gobelins utilisent pour piéger les Nains dans les mines !
Barbare	: encore de la ruse ?
Ranger	: je suis content de voir que tu commences à comprendre le concept
Nain	: et ben : on fait croire qu'un gobelin est mort puis quand on arrive pour lui faire les poches, ses copains embusqués nous sautent dessus !
Mago	: c'est pas con
Barbare	: c'est lâche
Elfe	: mais enfin, nous on est pas bêtes... on ne va pas tomber dans le panneau ?
Nain	: bah non, heureusement que je suis là !
Ogre	: zadouk ?
Mago	: Excusez-moi je dois lui expliquer... Eto gald az zplati mourk !
Ogre	: aka balgour et hop sprotch
Mago	: heuu... il propose de le tuer pour voir s'il est vraiment mort
Ranger	: hein ?
Elfe	: comment on va faire ?
Nain	: je sais ! On pourrait construire un trébuchet avec des troncs d'arbres et pendant ce temps l'ogre va chercher des grosses pierres
Mago	: he ben...
Ranger	: mais t'es con ou quoi ? ca va nous prendre 2 jours !
Nain	: j'en sais rien moi... j'ai jamais construit un trébuchet
Elfe	: moi je pense qu'on devrait apprivoiser une belette !
Ranger	: (ensemble) hein ?
Barbare	: (ensemble) quoi ?
Nain	: ha ha ha ha !!!!
Mago	: et ça recommence...
Nain	: (loin) ha ha ha ha !!!!
Elfe	: mais si ! Comme ça on l'envoie en reconnaissance pour déjouer l'embuscade !
Nain	: (loin) ha ha ha ha !!!!
Ranger	: mais noonnn ! Ha puis, arrêtez avec vos idées ! J'ai mal, alors j'aimerai qu'on avance
Mago	: fais voir cet oeil au beurre noir... hum, ça s'arrange pas
Ogre	: huh huh !
Nain	: moi je trouve ça marrant, ça te fait comme un bandeau de pirate !
Ranger	: (entre ses dents) tais-toi ou je te colle un pain
Elfe	: la prochaine fois, tu n'essaiera pas de voler des bourses à l'auberge
